CCCNC(=O)c1ccccc1N*;S(=O)(=O)(c1ccc(SC)cc1);CCCNC(=O)c1ccccc1NS(=O)(=O)c1ccc(SC)cc1
COc1ccccc1CN*;C(=O)(c1cc(Cl)ccc1Cl);COc1ccccc1CNC(=O)c1cc(Cl)ccc1Cl
CC(C)c1ccccc1OC*;C(=O)(N[C@H](C)[C@@H]1CCCO1);CC(C)c1ccccc1OCC(=O)N[C@H](C)[C@@H]1CCCO1
CCNc1ccccc1C(=O)OC*;C(=O)(c1ccc(C)cc1);CCNc1ccccc1C(=O)OCC(=O)c1ccc(C)cc1
CN(Cc1ccccc1)C(=O)C*;C(n1c(=O)oc2ccccc12);CN(Cc1ccccc1)C(=O)CCn1c(=O)oc2ccccc21
CCOC(=O)[C@@H]1CCCC[NH+]1*;C(c1cc(Br)c(O)c(OC)c1);CCOC(=O)[C@@H]1CCCC[NH+]1Cc1cc(Br)c(O)c(OC)c1
Cc1cc(*)cc(C)c1Cl;O(CC(=O)NCC(=O)[O-]);Cc1cc(OCC(=O)NCC(=O)[O-])cc(C)c1Cl
CC1(C)[C@@H](C(=O)[O-])CC[C@]1(C)*;C(=O)(NCc1ccccc1);CC1(C)[C@@H](C(=O)[O-])CC[C@]1(C)C(=O)NCc1ccccc1
COC(=O)[C@@H]1CC=CC[C@H]1C(=O)NC*;C(c1c[nH]c2ccccc12);COC(=O)[C@@H]1CC=CC[C@H]1C(=O)NCCc1c[nH]c2ccccc12
CC(=O)c1ccccc1NC(=O)*;C(Sc1ccc2ccccc2n1);CC(=O)c1ccccc1NC(=O)CSc1ccc2ccccc2n1
O=C(C*)Nc1ccc(F)cc1;O(c1ccc2c(c1)CCC2);O=C(COc1ccc2c(c1)CCC2)Nc1ccc(F)cc1
Cc1nc2ccccc2n1C[C@@H](O)C*;O(Cc1ccccc1Cl);Cc1nc2ccccc2n1C[C@@H](O)COCc1ccccc1Cl
Cc1ccccc1C(=O)*;N(c1c(F)cccc1F);Cc1ccccc1C(=O)Nc1c(F)cccc1F
O=C(Oc1cccc2ccccc12)*;C(c1nc2ccccc2[nH]1);O=C(Cc1nc2ccccc2[nH]1)Oc1cccc2ccccc12
O=C(Nc1ccc(Cl)cc1)*;C(NC(=O)C1CCCCC1);O=C(CNC(=O)C1CCCCC1)Nc1ccc(Cl)cc1
O=C(N1CCOC12CCCCC2)*;N(c1cccc(C(F)(F)F)c1);O=C(Nc1cccc(C(F)(F)F)c1)N1CCOC12CCCCC2
CC[C@@H](C)NC(=O)[C@@H](C)*;O(c1ccc(OC)cc1);CC[C@@H](C)NC(=O)[C@@H](C)Oc1ccc(OC)cc1
CCCc1nc2ccccc2n1C[C@@H](O)*;C(Oc1ccc(Cl)cc1);CCCc1nc2ccccc2n1C[C@@H](O)COc1ccc(Cl)cc1
O=C(NCC(=O)N1CCCCC1)*;C(NS(=O)(=O)c1ccccc1);O=C(CNS(=O)(=O)c1ccccc1)NCC(=O)N1CCCCC1
O=C(Nc1ccc2c(c1)OCO2)*;C(Sc1nc2cc(Cl)ccc2s1);O=C(CSc1nc2cc(Cl)ccc2s1)Nc1ccc2c(c1)OCO2
Cc1c(*)c(=O)oc2cc(O)c(Cl)cc12;C(CC(=O)NCCC(=O)[O-]);Cc1c(CCC(=O)NCCC(=O)[O-])c(=O)oc2cc(O)c(Cl)cc12
O=c1c2ccccc2ncn1*;C(c1ccc(Cl)c(Cl)c1);O=c1c2ccccc2ncn1Cc1ccc(Cl)c(Cl)c1
CCc1cccc(C)c1NC(=O)*;C(Oc1cc(C)cc(C)c1);CCc1cccc(C)c1NC(=O)COc1cc(C)cc(C)c1
CCc1ccc(Cl)c(CC)c1NC(=O)*;C(Oc1ccc(F)cc1);CCc1ccc(Cl)c(CC)c1NC(=O)COc1ccc(F)cc1
O=C(Nc1ccc(Cl)cc1Cl)*;C(OC(=O)c1cccnc1Cl);O=C(COC(=O)c1cccnc1Cl)Nc1ccc(Cl)cc1Cl
O=C(CCSc1ccccc1)*;N(c1c(F)cccc1F);O=C(CCSc1ccccc1)Nc1c(F)cccc1F
CC(C)n1cnnc1SC*;C(=O)(Nc1ccc(Cl)cc1);CC(C)n1cnnc1SCC(=O)Nc1ccc(Cl)cc1
C[C@H]1CCCC[C@H]1NC(=O)C*;O(C(=O)c1ccccc1F);C[C@H]1CCCC[C@H]1NC(=O)COC(=O)c1ccccc1F
CCc1ccccc1NC(=O)*;C(OC(=O)c1ccccc1Br);CCc1ccccc1NC(=O)COC(=O)c1ccccc1Br
COc1cccc(OC)c1*;C(=O)(NC[C@H]1CCCO1);COc1cccc(OC)c1C(=O)NC[C@H]1CCCO1
C[C@H](NC(=O)*)[C@@H]1CCCO1;N(c1ccc2c(c1)OCO2);C[C@H](NC(=O)Nc1ccc2c(c1)OCO2)[C@@H]1CCCO1
O=C(N*)c1csc2c1CCCCC2;C(CCc1ccccc1);O=C(NCCCc1ccccc1)c1csc2c1CCCCC2
CC[C@@](C)(N(Cc1cccs1)C(C)=O)*;C(=O)(NC1CCCCC1);CC[C@](C)(C(=O)NC1CCCCC1)N(Cc1cccs1)C(C)=O
COc1ccc(Cl)cc1N(C*)S(C)(=O)=O;C(=O)(N1CCCCCC1);COc1ccc(Cl)cc1N(CC(=O)N1CCCCCC1)S(C)(=O)=O
CC(=O)[C@H](C)Oc1ccccc1*;O(c1ncc(C(F)(F)F)cc1Cl);CC(=O)[C@H](C)Oc1ccccc1Oc1ncc(C(F)(F)F)cc1Cl
COc1cc2ccccc2cc1C(=O)*;N(Cc1ccccc1F);COc1cc2ccccc2cc1C(=O)NCc1ccccc1F
O=C(Nc1ccc2c(c1)OCO2)*;C(Oc1cccc(Br)c1);O=C(COc1cccc(Br)c1)Nc1ccc2c(c1)OCO2
Cn1c(Cc2ccccc2)nnc1*;S(CC(=O)c1ccccc1);Cn1c(Cc2ccccc2)nnc1SCC(=O)c1ccccc1
CC[C@H](C(=O)*)c1ccccc1;N(c1sc(C)c(C)c1C#N);CC[C@H](C(=O)Nc1sc(C)c(C)c1C#N)c1ccccc1
O=C(COc1ccc2c(c1)OCO2)N*;C(Cc1ccc(F)cc1);O=C(COc1ccc2c(c1)OCO2)NCCc1ccc(F)cc1
O=C(Nc1ccc(Cl)cn1)*;C(Sc1ccccc1F);O=C(CSc1ccccc1F)Nc1ccc(Cl)cn1
O=C(C1(c2ccccc2)CCCC1)*;N(c1ccc2c(c1)OCO2);O=C(Nc1ccc2c(c1)OCO2)C1(c2ccccc2)CCCC1
O=C(CO*)NC[C@@H]1CCCO1;C(=O)(c1ncc(Cl)c(Cl)c1Cl);O=C(COC(=O)c1ncc(Cl)c(Cl)c1Cl)NC[C@@H]1CCCO1
CN(CC(=O)NCCC1=CCCCC1)*;S(=O)(=O)(c1ccc(Cl)cc1);CN(CC(=O)NCCC1=CCCCC1)S(=O)(=O)c1ccc(Cl)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2)*;N(c1cccc2ccccc12);O=C(Nc1ccc2c(c1)C(=O)OC2)Nc1cccc2ccccc12
CCc1ccccc1NC(=O)C*;S(c1ncnn1-c1ccccc1);CCc1ccccc1NC(=O)CSc1ncnn1-c1ccccc1
Cc1cccc(C)c1NC(=O)C*;O(c1ccc(C(C)(C)C)cc1);Cc1cccc(C)c1NC(=O)COc1ccc(C(C)(C)C)cc1
O=C(CSc1nc2ncc(Cl)cc2[n-]1)*;N(Cc1ccc(F)cc1);O=C(CSc1nc2ncc(Cl)cc2[n-]1)NCc1ccc(F)cc1
O=C1C[C@H]2C=CC=C[C@@H]2N1*;C(n1nnc2ccccc12);O=C1C[C@H]2C=CC=C[C@@H]2N1Cn1nnc2ccccc21
COc1ccccc1NC(=O)*;C(Oc1c(Cl)cccc1Cl);COc1ccccc1NC(=O)COc1c(Cl)cccc1Cl
O=C(Nc1nc2ccc(F)cc2s1)*;C(Oc1ccc(F)cc1);O=C(COc1ccc(F)cc1)Nc1nc2ccc(F)cc2s1
C(C[NH2+][C@@H]1CCC[C@@H](C)[C@H]1C)*;COc1ccc(OC)cc1;COc1ccc(OCCC[NH2+][C@@H]2CCC[C@@H](C)[C@H]2C)cc1
O=C(Nc1nc(-c2ccc(F)cc2)cs1)*;C(Oc1ccc(F)cc1);O=C(COc1ccc(F)cc1)Nc1nc(-c2ccc(F)cc2)cs1
O=C([C@@H]1[C@H]2CC[C@H](O2)[C@@H]1C(=O)[O-])*;N(CCC1=CCCCC1);O=C(NCCC1=CCCCC1)[C@@H]1[C@H]2CC[C@H](O2)[C@@H]1C(=O)[O-]
C=CCc1cc(C)ccc1OC*;C([NH+]1C[C@H](C)O[C@@H](C)C1);C=CCc1cc(C)ccc1OCC[NH+]1C[C@H](C)O[C@@H](C)C1
O=C(Cn1ccc(C(F)(F)F)n1)*;N(c1ccc(F)c(Cl)c1);O=C(Cn1ccc(C(F)(F)F)n1)Nc1ccc(F)c(Cl)c1
CCCC(=O)Nc1ccccc1N*;C(=O)(c1cccc(C)c1);CCCC(=O)Nc1ccccc1NC(=O)c1cccc(C)c1
Nn1cnnc1S[C@@H]1CCCC[C@@H]1*;N(S(=O)(=O)c1ccccc1);Nn1cnnc1S[C@@H]1CCCC[C@@H]1NS(=O)(=O)c1ccccc1
O=C(Nc1ccccc1)*;N(c1ccc(I)cc1F);O=C(Nc1ccccc1)Nc1ccc(I)cc1F
COc1ccc(C(C)=O)cc1*;C(OC(=O)c1cccn1C);COc1ccc(C(C)=O)cc1COC(=O)c1cccn1C
CC(C)CNC(=O)CN*;C(=O)(c1ccc(F)cc1);CC(C)CNC(=O)CNC(=O)c1ccc(F)cc1
CCOC(=O)c1c(C)[nH]c(C)c1*;C(=O)(CSc1nc(C)cs1);CCOC(=O)c1c(C)[nH]c(C)c1C(=O)CSc1nc(C)cs1
O=C(N*)c1c(Cl)cccc1Cl;C([C@@H](O)c1ccccc1);O=C(NC[C@@H](O)c1ccccc1)c1c(Cl)cccc1Cl
CCOC(=O)[C@@](OC)(C(F)(F)F)*;N(C(=O)Nc1cccc(C)n1);CCOC(=O)[C@@](NC(=O)Nc1cccc(C)n1)(OC)C(F)(F)F
C[C@H](C(=O)Nc1ccc(N(C)C)cc1)*;O(C(=O)c1cccc(F)c1);C[C@@H](OC(=O)c1cccc(F)c1)C(=O)Nc1ccc(N(C)C)cc1
C[C@H](Oc1cccc(Cl)c1)C(=O)*;N(c1ccccc1C(F)(F)F);C[C@H](Oc1cccc(Cl)c1)C(=O)Nc1ccccc1C(F)(F)F
CC(C)(C*)OCc1ccccc1;N(S(=O)(=O)c1ccc(Cl)cc1);CC(C)(CNS(=O)(=O)c1ccc(Cl)cc1)OCc1ccccc1
C[C@H](NC(=O)C*)c1ccccc1;N(C(=O)c1ccc(Br)o1);C[C@H](NC(=O)CNC(=O)c1ccc(Br)o1)c1ccccc1
CC(C)[C@@H](C(=O)NC1CCCC1)*;O(C(=O)c1nsc(Cl)c1Cl);CC(C)[C@H](OC(=O)c1nsc(Cl)c1Cl)C(=O)NC1CCCC1
CSc1nnc2n1CCCN2*;C(=O)(c1ccc(Cl)cc1);CSc1nnc2n1CCCN2C(=O)c1ccc(Cl)cc1
CS(=O)(=O)n1nc(-c2cccnc2)nc1*;N(Cc1cccc(Cl)c1);CS(=O)(=O)n1nc(-c2cccnc2)nc1NCc1cccc(Cl)c1
CC(=O)c1cc(Cl)ccc1O*;C(C(=O)N[C@@H]1CCCC[C@H]1C);CC(=O)c1cc(Cl)ccc1OCC(=O)N[C@@H]1CCCC[C@H]1C
CC[C@H](Sc1nc2ccncc2[n-]1)*;C(=O)(Nc1ccccc1C);CC[C@H](Sc1nc2ccncc2[n-]1)C(=O)Nc1ccccc1C
C[C@@H](N*)[C@H](c1cccs1)[NH+]1CCCC1;C(=O)(c1ccc(F)cc1Cl);C[C@@H](NC(=O)c1ccc(F)cc1Cl)[C@H](c1cccs1)[NH+]1CCCC1
COC(=O)c1[nH]c2ccccc2c1N*;C(=O)(C[NH+]1CCCC[C@@H]1C);COC(=O)c1[nH]c2ccccc2c1NC(=O)C[NH+]1CCCC[C@@H]1C
O=C(COc1ccc(Cl)cc1Cl)*;N(c1noc2ccccc12);O=C(COc1ccc(Cl)cc1Cl)Nc1noc2ccccc12
Cc1ccc(N2CCCS2(=O)=O)cc1N*;C(=O)(c1ccccc1F);Cc1ccc(N2CCCS2(=O)=O)cc1NC(=O)c1ccccc1F
O=C([O-])Cc1cscc1*;N(c1c(Cl)cccc1Cl);O=C([O-])Cc1cscc1Nc1c(Cl)cccc1Cl
COc1ccccc1CC(=O)*;N(c1ccc(C)cc1C);COc1ccccc1CC(=O)Nc1ccc(C)cc1C
CC[C@H](C)[C@@H](NC(N)=O)C(=O)N*;C(Cc1ccc(Cl)cc1);CC[C@H](C)[C@@H](NC(N)=O)C(=O)NCCc1ccc(Cl)cc1
COc1ccccc1OC*;C(=O)(Nc1ccncc1);COc1ccccc1OCC(=O)Nc1ccncc1
CC(=O)c1cc2c(cc1*)OCO2;N(S(=O)(=O)c1ccccc1C);CC(=O)c1cc2c(cc1NS(=O)(=O)c1ccccc1C)OCO2
CC(C)c1cccc(C(C)C)c1N*;C(=O)(c1cc2ccccc2o1);CC(C)c1cccc(C(C)C)c1NC(=O)c1cc2ccccc2o1
C(=O)(NC1CCCCCC1)*;CSc1nnc(SC)s1;CSc1nnc(SCC(=O)NC2CCCCCC2)s1
O=C(c1ccccc1F)*;N(c1ccc(Cl)cc1F);O=C(Nc1ccc(Cl)cc1F)c1ccccc1F
O=C(N*)c1ccncc1;C(c1ccc(Cl)cc1Cl);O=C(NCc1ccc(Cl)cc1Cl)c1ccncc1
CC(=O)Oc1ccccc1C(=O)*;N(c1ccc(F)c(F)c1);CC(=O)Oc1ccccc1C(=O)Nc1ccc(F)c(F)c1
C[C@@H](Sc1nnc2ccccn12)*;C(=O)(c1c[nH]c2ccccc12);C[C@@H](Sc1nnc2ccccn12)C(=O)c1c[nH]c2ccccc12
Cc1onc(-c2ccccc2)c1C(=O)*;N(CCc1ccncc1);Cc1onc(-c2ccccc2)c1C(=O)NCCc1ccncc1
CS(=O)(=O)N(c1ccc(F)cc1)*;C(C(=O)N1CCC(C(N)=O)CC1);CS(=O)(=O)N(CC(=O)N1CCC(C(N)=O)CC1)c1ccc(F)cc1
COc1ccc2nc(C)cc(*)c2c1;S(C[C@H](NC(C)=O)C(=O)[O-]);COc1ccc2nc(C)cc(SC[C@H](NC(C)=O)C(=O)[O-])c2c1
Cc1cc(C(F)F)nn1C*;C(=O)(Nc1cccc(F)c1);Cc1cc(C(F)F)nn1CC(=O)Nc1cccc(F)c1
CCOC(=O)c1c(CC(C)C)csc1N*;C(=O)(c1ccccc1F);CCOC(=O)c1c(CC(C)C)csc1NC(=O)c1ccccc1F
CC(C)c1ccccc1NC(=O)C*;O(c1cccc2ccccc12);CC(C)c1ccccc1NC(=O)COc1cccc2ccccc12
COc1cccc(OC)c1O*;C(C[NH+]1C[C@@H](C)C[C@H](C)C1);COc1cccc(OC)c1OCC[NH+]1C[C@@H](C)C[C@H](C)C1
O=C(COc1ccc(F)c(Cl)c1)*;N(Cc1ccc(F)cc1);O=C(COc1ccc(F)c(Cl)c1)NCc1ccc(F)cc1
N#C[C@H](Cc1ccccc1)N*;C(=O)(OCc1ccccc1);N#C[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
O=c1sc2ccccc2n1*;S(=O)(=O)(c1ccccc1);O=c1sc2ccccc2n1S(=O)(=O)c1ccccc1
COC(=O)c1ccccc1*;O(C(=O)C1CCCCC1);COC(=O)c1ccccc1OC(=O)C1CCCCC1
COc1ccc2c(c1)[C@H](C)CC(C)(C)N2*;C(=O)(CSc1ncn[nH]1);COc1ccc2c(c1)[C@H](C)CC(C)(C)N2C(=O)CSc1ncn[nH]1
O=C(CO*)Nc1ccc(C(F)(F)F)cc1;C(=O)(c1cccc(I)c1);O=C(COC(=O)c1cccc(I)c1)Nc1ccc(C(F)(F)F)cc1
O=C(C*)NCc1ccco1;C(Nc1n[nH]c(=O)[nH]c1=O);O=C(CCNc1n[nH]c(=O)[nH]c1=O)NCc1ccco1
O=C(C*)NCc1ccc(Cl)cc1;S(c1ccc(-c2ccco2)nn1);O=C(CSc1ccc(-c2ccco2)nn1)NCc1ccc(Cl)cc1
C[C@H](NC(=O)c1ccccc1)*;C(=O)(NCC1CCCCC1);C[C@H](NC(=O)c1ccccc1)C(=O)NCC1CCCCC1
O=C(COn1nnc2ccc(Cl)cc12)*;N(c1ccc2c(c1)OCO2);O=C(COn1nnc2ccc(Cl)cc21)Nc1ccc2c(c1)OCO2
O=C(C*)OC1CCCCC1;N(C(=O)c1ccccc1);O=C(CNC(=O)c1ccccc1)OC1CCCCC1
COc1ccc(Cl)cc1N*;C(c1cccc(OC)c1O);COc1ccc(Cl)cc1NCc1cccc(OC)c1O
C/C=C/c1ccc(*)c(OC)c1;O(CC(=O)O[C@@H](C)C#N);C/C=C/c1ccc(OCC(=O)O[C@@H](C)C#N)c(OC)c1
COC(=O)c1cc(OC)c(OC)cc1N*;C(=O)(Cc1ccccc1);COC(=O)c1cc(OC)c(OC)cc1NC(=O)Cc1ccccc1
O=C(Cc1ccccc1Cl)*;N(Cc1cccc(Cl)c1);O=C(Cc1ccccc1Cl)NCc1cccc(Cl)c1
O=C(Nc1ccc2c(c1)CCC2)*;C(Sc1ccc2ccccc2n1);O=C(CSc1ccc2ccccc2n1)Nc1ccc2c(c1)CCC2
C[C@H](Sc1nnc2ccccn12)*;C(=O)(N(C)Cc1ccccc1);C[C@H](Sc1nnc2ccccn12)C(=O)N(C)Cc1ccccc1
C[C@H](CNC(=O)Nc1ccccc1)*;C(Sc1ccc(Cl)cc1);C[C@H](CNC(=O)Nc1ccccc1)CSc1ccc(Cl)cc1
C[C@H]1CCCC[C@H]1NC(=O)C*;S(c1ccc2ccccc2c1);C[C@H]1CCCC[C@H]1NC(=O)CSc1ccc2ccccc2c1
C[C@@H](c1ccc2c(c1)OCCO2)*;N(C(=O)CCc1ccccc1);C[C@H](NC(=O)CCc1ccccc1)c1ccc2c(c1)OCCO2
COC(=O)c1[nH]c2ccccc2c1C*;N(C(=O)c1ccc(C)cc1);COC(=O)c1[nH]c2ccccc2c1CNC(=O)c1ccc(C)cc1
N#C[C@H](Cc1cccnc1)*;C(=O)(Nc1ccc(Br)cc1);N#C[C@H](Cc1cccnc1)C(=O)Nc1ccc(Br)cc1
CCOc1cc(C#N)cc(Br)c1*;O(C(=O)c1ccccc1);CCOc1cc(C#N)cc(Br)c1OC(=O)c1ccccc1
COc1ccc(C)cc1S(=O)(=O)*;N([C@@H](C)C(=O)Nc1ccccc1);COc1ccc(C)cc1S(=O)(=O)N[C@@H](C)C(=O)Nc1ccccc1
CCOC(=O)[C@@](O)(N*)C(F)(F)F;S(=O)(=O)(c1ccc(C)cc1);CCOC(=O)[C@@](O)(NS(=O)(=O)c1ccc(C)cc1)C(F)(F)F
CN(Cc1ccccc1F)C(=O)C*;N(C(=O)c1ccccc1Cl);CN(Cc1ccccc1F)C(=O)CNC(=O)c1ccccc1Cl
COC(=O)c1cc(Br)ccc1*;N(C(=O)Nc1ccc(Cl)cc1);COC(=O)c1cc(Br)ccc1NC(=O)Nc1ccc(Cl)cc1
CCc1cccc(C)c1NC(=O)C*;S(c1nc2ncccc2[nH]1);CCc1cccc(C)c1NC(=O)CSc1nc2ncccc2[nH]1
C[C@@H](NC(=O)C*)[C@H]1CCCO1;O(c1ccc(F)cc1Cl);C[C@@H](NC(=O)COc1ccc(F)cc1Cl)[C@H]1CCCO1
O=C(Cc1ccc(Cl)cc1)NCC*;C(NC(=O)c1ccccn1);O=C(Cc1ccc(Cl)cc1)NCCCNC(=O)c1ccccn1
CC(=O)O[C@@H](c1ccc(C)cc1)*;C(=O)(c1ccc(N(C)C)cc1);CC(=O)O[C@H](C(=O)c1ccc(N(C)C)cc1)c1ccc(C)cc1
C[C@@H](C(=O)Nc1ccccc1F)*;S(c1ncccc1C(=O)[O-]);C[C@H](Sc1ncccc1C(=O)[O-])C(=O)Nc1ccccc1F
CC[C@](C)(C(=O)NC1CCCCC1)*;N(Cc1cccs1)(C(C)=O);CC[C@](C)(C(=O)NC1CCCCC1)N(Cc1cccs1)C(C)=O
COC(=O)[C@H]1[C@H]2CC[C@H](C2)[C@@H]1C(=O)*;O(CC(=O)c1ccc(C)cc1);COC(=O)[C@H]1[C@H]2CC[C@H](C2)[C@@H]1C(=O)OCC(=O)c1ccc(C)cc1
Cc1ccc(Cl)cc1N*;S(=O)(=O)(c1ccccc1);Cc1ccc(Cl)cc1NS(=O)(=O)c1ccccc1
O=C([O-])c1ccccc1S(=O)(=O)*;C(C(=O)N1CCCCC1);O=C([O-])c1ccccc1S(=O)(=O)CC(=O)N1CCCCC1
CC[C@H](C)OC(=O)[C@@H]1CC=CC[C@@H]1*;C(=O)(Nc1cccc(C)c1C);CC[C@H](C)OC(=O)[C@@H]1CC=CC[C@@H]1C(=O)Nc1cccc(C)c1C
O=C(COc1ccc(F)cc1Br)*;N(c1ccc(F)cc1F);O=C(COc1ccc(F)cc1Br)Nc1ccc(F)cc1F
O=C([O-])CN(Cc1ccco1)*;S(=O)(=O)(c1ccccc1);O=C([O-])CN(Cc1ccco1)S(=O)(=O)c1ccccc1
C[C@H](C(=O)NCc1ccccc1)*;[NH2+](C[C@H]1COc2ccccc2O1);C[C@@H]([NH2+]C[C@H]1COc2ccccc2O1)C(=O)NCc1ccccc1
O=C(C*)OCC(=O)c1cccs1;C(c1nc2ccccc2c(=O)[nH]1);O=C(CCc1nc2ccccc2c(=O)[nH]1)OCC(=O)c1cccs1
Cc1ccc(C(=O)[O-])cc1N*;C(=O)(Nc1ccc(F)cc1F);Cc1ccc(C(=O)[O-])cc1NC(=O)Nc1ccc(F)cc1F
COc1ccccc1CNC(=O)*;C(CS(=O)(=O)c1ccc(C)cc1);COc1ccccc1CNC(=O)CCS(=O)(=O)c1ccc(C)cc1
C[C@H]1Cc2ccccc2N1C(=O)*;C(Oc1cccc(C#N)c1);C[C@H]1Cc2ccccc2N1C(=O)COc1cccc(C#N)c1
Cc1ccccc1O[C@@H](C)C(=O)*;N(c1cccc(Cl)c1Cl);Cc1ccccc1O[C@@H](C)C(=O)Nc1cccc(Cl)c1Cl
COc1ccc(Cl)cc1C(=O)N*;C([C@H](c1ccco1)[NH+](C)C);COc1ccc(Cl)cc1C(=O)NC[C@H](c1ccco1)[NH+](C)C
COC(=O)c1ccccc1NC(=O)*;C(Sc1nc(=O)c(C)n[nH]1);COC(=O)c1ccccc1NC(=O)CSc1nc(=O)c(C)n[nH]1
CC(C)=CCC(C)(C)[C@H]1OCCN1*;C(=O)(Nc1ccccc1);CC(C)=CCC(C)(C)[C@H]1OCCN1C(=O)Nc1ccccc1
O=C(N*)c1ccccc1I;C(c1ccc(Cl)cc1Cl);O=C(NCc1ccc(Cl)cc1Cl)c1ccccc1I
Cc1ccccc1-n1cnnc1SC*;C(=O)(N1[C@@H](C)CCC[C@@H]1C);Cc1ccccc1-n1cnnc1SCC(=O)N1[C@@H](C)CCC[C@@H]1C
O=C(C*)NCc1ccc(F)cc1;N(C(=O)c1ccc(Br)o1);O=C(CNC(=O)c1ccc(Br)o1)NCc1ccc(F)cc1
CCN(C*)c1ccccc1;C(c1nc(N)nc(N)n1);CCN(CCc1nc(N)nc(N)n1)c1ccccc1
Cc1ccc(Cl)cc1N(C*)S(C)(=O)=O;C(=O)(Nc1cccnc1);Cc1ccc(Cl)cc1N(CC(=O)Nc1cccnc1)S(C)(=O)=O
Cc1c(Cl)cccc1N*;C(=O)(Nc1ccccc1);Cc1c(Cl)cccc1NC(=O)Nc1ccccc1
CN(C*)S(=O)(=O)c1cc(Cl)ccc1Cl;C(=O)(NCc1ccccc1);CN(CC(=O)NCc1ccccc1)S(=O)(=O)c1cc(Cl)ccc1Cl
Cc1ccc(Cl)cc1NC(=O)*;C(Sc1nccc(=O)[nH]1);Cc1ccc(Cl)cc1NC(=O)CSc1nccc(=O)[nH]1
CC(C)=CC(=O)OCC(=O)*;N(c1cc(Cl)cc(Cl)c1);CC(C)=CC(=O)OCC(=O)Nc1cc(Cl)cc(Cl)c1
Cc1ccccc1C(=O)N*;C(Cc1cccc(Cl)c1);Cc1ccccc1C(=O)NCCc1cccc(Cl)c1
O=C(NCCc1ccccc1)*;C(Oc1ccc(Cl)c(Cl)c1);O=C(COc1ccc(Cl)c(Cl)c1)NCCc1ccccc1
CCC[NH+](CC)[C@@H](CC)C(=O)*;N(c1c(C)cccc1C);CCC[NH+](CC)[C@@H](CC)C(=O)Nc1c(C)cccc1C
O=C(N*)c1cccc(Cl)c1;C(CCc1ccccc1);O=C(NCCCc1ccccc1)c1cccc(Cl)c1
Cc1ccc(C)n1-c1ccccc1C*;N(C(=O)c1ccc(F)cc1);Cc1ccc(C)n1-c1ccccc1CNC(=O)c1ccc(F)cc1
Cc1csc(=O)n1CCC(=O)*;O(CC(=O)c1ccc[nH]1);Cc1csc(=O)n1CCC(=O)OCC(=O)c1ccc[nH]1
O=C(C*)NC1CCCCC1;C(c1nc2ccccc2[nH]1);O=C(CCc1nc2ccccc2[nH]1)NC1CCCCC1
O=C([O-])[C@@H](N*)c1ccccc1;S(=O)(=O)(c1ccccc1);O=C([O-])[C@@H](NS(=O)(=O)c1ccccc1)c1ccccc1
CO[C@H](n1nnc2ccccc12)*;C(CCc1ccccc1);CO[C@@H](CCCc1ccccc1)n1nnc2ccccc21
N#Cc1ccccc1OCC(=O)N*;C(Cc1ccc(Cl)cc1);N#Cc1ccccc1OCC(=O)NCCc1ccc(Cl)cc1
C[C@H](NC(=O)C*)c1ccc(Br)cc1;S(c1ccc2ccccc2n1);C[C@H](NC(=O)CSc1ccc2ccccc2n1)c1ccc(Br)cc1
COc1cc(C)ccc1OC*;C(=O)(Nc1ccc(Cl)cc1);COc1cc(C)ccc1OCC(=O)Nc1ccc(Cl)cc1
CN(Cc1ccccc1)C(=O)C*;N(C)(S(=O)(=O)c1ccc(F)cc1);CN(Cc1ccccc1)C(=O)CN(C)S(=O)(=O)c1ccc(F)cc1
COC[C@H](C)NC(=O)C*;O(c1ccc(Cl)cc1Cl);COC[C@H](C)NC(=O)COc1ccc(Cl)cc1Cl
Cc1nc(C(F)(F)F)ccc1C(=O)*;N([C@H]1CCCc2ccccc21);Cc1nc(C(F)(F)F)ccc1C(=O)N[C@H]1CCCc2ccccc21
O=C(C*)C1CCCCC1;C(c1cc(F)cc(Cl)c1);O=C(CCc1cc(F)cc(Cl)c1)C1CCCCC1
C[C@@H](Sc1ccc2ccccc2n1)*;C(=O)(N[C@H]1CCCC[C@H]1C);C[C@@H](Sc1ccc2ccccc2n1)C(=O)N[C@H]1CCCC[C@H]1C
Cc1cc2ccccc2n1C*;C(=O)(NCc1ccc(F)cc1);Cc1cc2ccccc2n1CC(=O)NCc1ccc(F)cc1
Cc1cc(Cl)ccc1O[C@@H](C)*;C(=O)(NCc1cccnc1);Cc1cc(Cl)ccc1O[C@@H](C)C(=O)NCc1cccnc1
C[C@H](NC(=O)*)c1ccccc1;C(Cc1c[nH]c2ccccc12);C[C@H](NC(=O)CCc1c[nH]c2ccccc12)c1ccccc1
C=CCNC(=O)CCC*;O(c1ccc(Cl)c(C)c1);C=CCNC(=O)CCCOc1ccc(Cl)c(C)c1
C[C@H](O*)C(=O)Nc1ccc2c(c1)OCO2;C(=O)(c1cccc(Cl)c1);C[C@H](OC(=O)c1cccc(Cl)c1)C(=O)Nc1ccc2c(c1)OCO2
Cc1cc(Br)cc(C)c1NC(=O)C*;O(c1ccc2c(c1)CCCC2);Cc1cc(Br)cc(C)c1NC(=O)COc1ccc2c(c1)CCCC2
